name,slug,price,discount_price,description,category,colororversion,tag
Bandolera Pequeña,bandolera-pequena,2000,1800,"In hac habitasse platea dictumst. Curabitur egestas semper diam sed feugiat. Curabitur posuere nulla ac malesuada tincidunt. Quisque molestie leo sed massa pharetra suscipit. Fusce odio odio, finibus euismod eleifend vel, sagittis at metus. Maecenas condimentum in lectus id mollis. Duis hendrerit nec quam at molestie. In ac sodales felis, in gravida ligula.",bandoleras,"Negro, Rosa",s
Bandolera Mediana,bandolera-mediana,2500,2300,"Quisque venenatis justo rhoncus nunc eleifend porttitor. Mauris lacus sapien, efficitur id eros ut, mattis rutrum est. Vivamus vitae luctus neque. Donec pellentesque, sem vitae accumsan tempus, arcu turpis condimentum quam, nec pharetra metus mauris a mauris. Proin quis gravida metus.",bandoleras,"Negro, Rosa",s
Bandolera Grande,bandolera-grande,3000,,"Aliquam interdum tristique tempus. Morbi eget eros ornare, imperdiet arcu sed, ullamcorper tellus. Sed tristique ex tellus, vel ultricies ipsum hendrerit et. Etiam faucibus iaculis tristique. In consequat risus vel consequat vehicula. Sed quis nibh eget mi ornare convallis a vitae augue.",bandoleras,"Negro, Rosa",
Bandolera Especial,bandolera-especial,2700,2500,"In hac habitasse platea dictumst. Curabitur egestas semper diam sed feugiat. Curabitur posuere nulla ac malesuada tincidunt. Quisque molestie leo sed massa pharetra suscipit. Fusce odio odio, finibus euismod eleifend vel, sagittis at metus. Maecenas condimentum in lectus id mollis. Duis hendrerit nec quam at molestie. In ac sodales felis, in gravida ligula.",bandoleras,Animal Print,s
Bandolera Fashion,bandolera-fashion,3500,,"Quisque venenatis justo rhoncus nunc eleifend porttitor. Mauris lacus sapien, efficitur id eros ut, mattis rutrum est. Vivamus vitae luctus neque. Donec pellentesque, sem vitae accumsan tempus, arcu turpis condimentum quam, nec pharetra metus mauris a mauris. Proin quis gravida metus.",bandoleras,Rainbow,n
Sobre Pequeño,sobre-pequeno,2000,1800,"Quisque venenatis justo rhoncus nunc eleifend porttitor. Mauris lacus sapien, efficitur id eros ut, mattis rutrum est. Vivamus vitae luctus neque. Donec pellentesque, sem vitae accumsan tempus, arcu turpis condimentum quam, nec pharetra metus mauris a mauris. Proin quis gravida metus.",bandoleras,"Negro, Rosa",s
Sobre Mediano,sobre-mediano,2500,,"Quisque venenatis justo rhoncus nunc eleifend porttitor. Mauris lacus sapien, efficitur id eros ut, mattis rutrum est. Vivamus vitae luctus neque. Donec pellentesque, sem vitae accumsan tempus, arcu turpis condimentum quam, nec pharetra metus mauris a mauris. Proin quis gravida metus.",sobres,"Negro, Rosa",
Sobre Grande,sobre-grande,3000,,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Morbi metus turpis, aliquet et ligula at, cursus dictum enim. Vivamus eros est, vestibulum eu facilisis ut, euismod at nisl. ",sobres,"Negro, Rosa",
Sobre Especial,sobre-especial,2700,2500,Etiam faucibus iaculis tristique. In consequat risus vel consequat vehicula. Sed quis nibh eget mi ornare convallis a vitae augue.,sobres,Animal Print,s
Sobre Fashion,sobre-fashion,3500,3300,"Aliquam interdum tristique tempus. Morbi eget eros ornare, imperdiet arcu sed, ullamcorper tellus. Sed tristique ex tellus, vel ultricies ipsum hendrerit et. Etiam faucibus iaculis tristique. In consequat risus vel consequat vehicula. Sed quis nibh eget mi ornare convallis a vitae augue.",sobres,Rainbow,s
